# file...... outputFiles/node:voltage_C.csv
# date...... Mon Apr  4 09:07:19 2016
# user...... mlunacek
# host...... (null)
# group..... class=node
# property.. voltage_C
# limit..... 0
# interval.. 60
# timestamp,node_11,node_6,node_7,node_4,node_8,node_5,node_2,node_3,node_10,node_9,node_14,node_13,node_1,node_0,node_12
2013-07-01 04:00:00 UTC,-1034.76+2030.56j,-1289.55+2233.5j,-1153.27+2132.05j,-1123.96+2108.97j,-1151.04+2126.85j,-129.169+241.903j,-1152.31+2127.96j,-1151.97+2123.29j,-1200.89+2080j,+0+0j,-1044.07+2042.79j,-1044.18+2033.58j,-1044.07+2042.79j,-1040.21+2036.27j,-1044.08+2042.78j
2013-07-01 04:01:00 UTC,-1034.76+2030.56j,-1289.55+2233.5j,-1153.27+2132.05j,-1123.96+2108.97j,-1151.04+2126.85j,-129.169+241.903j,-1152.31+2127.96j,-1151.97+2123.29j,-1200.89+2080j,+0+0j,-1044.07+2042.79j,-1044.18+2033.58j,-1044.07+2042.79j,-1040.21+2036.27j,-1044.08+2042.78j
2013-07-01 04:02:00 UTC,-1034.76+2030.56j,-1289.55+2233.5j,-1153.27+2132.05j,-1123.96+2108.97j,-1151.04+2126.85j,-129.169+241.903j,-1152.31+2127.96j,-1151.97+2123.29j,-1200.89+2080j,+0+0j,-1044.07+2042.79j,-1044.18+2033.58j,-1044.07+2042.79j,-1040.21+2036.27j,-1044.08+2042.78j
2013-07-01 04:03:00 UTC,-1034.76+2030.56j,-1289.55+2233.5j,-1153.27+2132.05j,-1123.96+2108.97j,-1151.04+2126.85j,-129.169+241.903j,-1152.31+2127.96j,-1151.97+2123.29j,-1200.89+2080j,+0+0j,-1044.07+2042.79j,-1044.18+2033.58j,-1044.07+2042.79j,-1040.21+2036.27j,-1044.08+2042.78j
2013-07-01 04:04:00 UTC,-1034.76+2030.56j,-1289.55+2233.5j,-1153.27+2132.05j,-1123.96+2108.97j,-1151.04+2126.85j,-129.169+241.903j,-1152.31+2127.96j,-1151.97+2123.29j,-1200.89+2080j,+0+0j,-1044.07+2042.79j,-1044.18+2033.58j,-1044.07+2042.79j,-1040.21+2036.27j,-1044.08+2042.78j
2013-07-01 04:05:00 UTC,-1034.76+2030.56j,-1289.55+2233.5j,-1153.27+2132.05j,-1123.96+2108.97j,-1151.04+2126.85j,-129.169+241.903j,-1152.31+2127.96j,-1151.97+2123.29j,-1200.89+2080j,+0+0j,-1044.07+2042.79j,-1044.18+2033.58j,-1044.07+2042.79j,-1040.21+2036.27j,-1044.08+2042.78j
2013-07-01 04:06:00 UTC,-1034.76+2030.56j,-1289.55+2233.5j,-1153.27+2132.05j,-1123.96+2108.97j,-1151.04+2126.85j,-129.169+241.903j,-1152.31+2127.96j,-1151.97+2123.29j,-1200.89+2080j,+0+0j,-1044.07+2042.79j,-1044.18+2033.58j,-1044.07+2042.79j,-1040.21+2036.27j,-1044.08+2042.78j
2013-07-01 04:07:00 UTC,-1034.76+2030.56j,-1289.55+2233.5j,-1153.27+2132.05j,-1123.96+2108.97j,-1151.04+2126.85j,-129.169+241.903j,-1152.31+2127.96j,-1151.97+2123.29j,-1200.89+2080j,+0+0j,-1044.07+2042.79j,-1044.18+2033.58j,-1044.07+2042.79j,-1040.21+2036.27j,-1044.08+2042.78j
2013-07-01 04:08:00 UTC,-1034.76+2030.56j,-1289.55+2233.5j,-1153.27+2132.05j,-1123.96+2108.97j,-1151.04+2126.85j,-129.169+241.903j,-1152.31+2127.96j,-1151.97+2123.29j,-1200.89+2080j,+0+0j,-1044.07+2042.79j,-1044.18+2033.58j,-1044.07+2042.79j,-1040.21+2036.27j,-1044.08+2042.78j
2013-07-01 04:09:00 UTC,-1034.76+2030.56j,-1289.55+2233.5j,-1153.27+2132.05j,-1123.96+2108.97j,-1151.04+2126.85j,-129.169+241.903j,-1152.31+2127.96j,-1151.97+2123.29j,-1200.89+2080j,+0+0j,-1044.07+2042.79j,-1044.18+2033.58j,-1044.07+2042.79j,-1040.21+2036.27j,-1044.08+2042.78j
2013-07-01 04:10:00 UTC,-1034.76+2030.56j,-1289.55+2233.5j,-1153.27+2132.05j,-1123.96+2108.97j,-1151.04+2126.85j,-129.169+241.903j,-1152.31+2127.96j,-1151.97+2123.29j,-1200.89+2080j,+0+0j,-1044.07+2042.79j,-1044.18+2033.58j,-1044.07+2042.79j,-1040.21+2036.27j,-1044.08+2042.78j
2013-07-01 04:11:00 UTC,-1034.76+2030.56j,-1289.55+2233.5j,-1153.27+2132.05j,-1123.96+2108.97j,-1151.04+2126.85j,-129.169+241.903j,-1152.31+2127.96j,-1151.97+2123.29j,-1200.89+2080j,+0+0j,-1044.07+2042.79j,-1044.18+2033.58j,-1044.07+2042.79j,-1040.21+2036.27j,-1044.08+2042.78j
2013-07-01 04:12:00 UTC,-1034.76+2030.56j,-1289.55+2233.5j,-1153.27+2132.05j,-1123.96+2108.97j,-1151.04+2126.85j,-129.169+241.903j,-1152.31+2127.96j,-1151.97+2123.29j,-1200.89+2080j,+0+0j,-1044.07+2042.79j,-1044.18+2033.58j,-1044.07+2042.79j,-1040.21+2036.27j,-1044.08+2042.78j
2013-07-01 04:13:00 UTC,-1034.76+2030.56j,-1289.55+2233.5j,-1153.27+2132.05j,-1123.96+2108.97j,-1151.04+2126.85j,-129.169+241.903j,-1152.31+2127.96j,-1151.97+2123.29j,-1200.89+2080j,+0+0j,-1044.07+2042.79j,-1044.18+2033.58j,-1044.07+2042.79j,-1040.21+2036.27j,-1044.08+2042.78j
