# file...... outputFiles/overhead_line:power_in_B.csv
# date...... Mon Apr  4 09:07:19 2016
# user...... mlunacek
# host...... (null)
# group..... class=overhead_line
# property.. power_in_B
# limit..... 0
# interval.. 60
# timestamp,line_6,line_0,line_8,line_7,line_3,line_2,line_5,line_4,line_10
2013-07-01 04:00:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316251j,-4.50718e-10-3.35209e-10j,-0+0j,+0+0j
2013-07-01 04:01:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-4.50718e-10-3.35209e-10j,-0+0j,+0+0j
2013-07-01 04:02:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+1.02032e-10+1.36078e-11j,-0+0j,+0+0j
2013-07-01 04:03:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-2.85674e-09-2.42927e-09j,-0+0j,+0+0j
2013-07-01 04:04:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+2.13647e-09-2.08223e-09j,-0+0j,+0+0j
2013-07-01 04:05:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+2.28671e-09-1.97049e-09j,-0+0j,+0+0j
2013-07-01 04:06:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+2.11315e-09+5.68484e-09j,-0+0j,+0+0j
2013-07-01 04:07:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+2.9766e-09-1.25771e-09j,-0+0j,+0+0j
2013-07-01 04:08:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-6.92574e-09-2.12142e-09j,-0+0j,+0+0j
2013-07-01 04:09:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-1.90701e-09-2.64732e-09j,-0+0j,+0+0j
