# file...... outputFiles/load:voltage_B.csv
# date...... Mon Apr  4 09:07:19 2016
# user...... mlunacek
# host...... (null)
# group..... class=load
# property.. measured_voltage_B
# limit..... 0
# interval.. 60
# timestamp,load_1,load_8,load_4,load_5,load_6,load_0,load_7,load_9,load_3,load_2
2013-07-01 04:00:00 UTC,+0+0d,+2498.87-121.347d,+282.971-121.59d,+2476.47-121.392d,+2472.58-121.455d,+0+0d,+2508.45-121.646d,+2508.45-121.646d,+2511.38-121.72d,+2508.45-121.646d
2013-07-01 04:01:00 UTC,+0+0d,+2498.87-121.347d,+282.971-121.59d,+2476.47-121.392d,+2472.58-121.455d,+0+0d,+2508.45-121.646d,+2508.45-121.646d,+2511.38-121.72d,+2508.45-121.646d
2013-07-01 04:02:00 UTC,+0+0d,+2498.87-121.347d,+282.971-121.59d,+2476.47-121.392d,+2472.58-121.455d,+0+0d,+2508.45-121.646d,+2508.45-121.646d,+2511.38-121.72d,+2508.45-121.646d
2013-07-01 04:03:00 UTC,+0+0d,+2498.87-121.347d,+282.971-121.59d,+2476.47-121.392d,+2472.58-121.455d,+0+0d,+2508.45-121.646d,+2508.45-121.646d,+2511.38-121.72d,+2508.45-121.646d
2013-07-01 04:04:00 UTC,+0+0d,+2498.87-121.347d,+282.971-121.59d,+2476.47-121.392d,+2472.58-121.455d,+0+0d,+2508.45-121.646d,+2508.45-121.646d,+2511.38-121.72d,+2508.45-121.646d
2013-07-01 04:05:00 UTC,+0+0d,+2498.87-121.347d,+282.971-121.59d,+2476.47-121.392d,+2472.58-121.455d,+0+0d,+2508.45-121.646d,+2508.45-121.646d,+2511.38-121.72d,+2508.45-121.646d
2013-07-01 04:06:00 UTC,+0+0d,+2498.87-121.347d,+282.971-121.59d,+2476.47-121.392d,+2472.58-121.455d,+0+0d,+2508.45-121.646d,+2508.45-121.646d,+2511.38-121.72d,+2508.45-121.646d
2013-07-01 04:07:00 UTC,+0+0d,+2498.87-121.347d,+282.971-121.59d,+2476.47-121.392d,+2472.58-121.455d,+0+0d,+2508.45-121.646d,+2508.45-121.646d,+2511.38-121.72d,+2508.45-121.646d
2013-07-01 04:08:00 UTC,+0+0d,+2498.87-121.347d,+282.971-121.59d,+2476.47-121.392d,+2472.58-121.455d,+0+0d,+2508.45-121.646d,+2508.45-121.646d,+2511.38-121.72d,+2508.45-121.646d
2013-07-01 04:09:00 UTC,+0+0d,+2498.87-121.347d,+282.971-121.59d,+2476.47-121.392d,+2472.58-121.455d,+0+0d,+2508.45-121.646d,+2508.45-121.646d,+2511.38-121.72d,+2508.45-121.646d
